Lch,Wch,Tch,Tox1,Tox2
24.39,53.24,4.58,0.86,2.03
26.05,15.58,5.55,1.02,2.04
24.85,30.07,7.6,0.49,1.57
32.49,38.2,4.98,0.51,2.06
30.35,25.51,7.8,0.58,1.72
28.14,22.59,6.85,0.71,1.59
21.4,58.39,4.15,0.63,2.0
32.54,51.21,4.74,0.38,2.14
22.25,27.95,7.96,0.5,1.99
17.16,41.23,6.99,0.49,1.77
28.9,27.73,7.89,1.12,1.69
15.01,37.77,7.18,0.83,1.87
28.71,53.37,5.17,0.53,2.09
20.8,44.68,6.69,0.84,1.68
26.54,46.01,6.64,1.19,1.67
20.54,28.73,7.87,0.62,2.06
16.04,42.58,5.12,0.56,2.06
33.25,54.33,7.52,0.45,2.15
27.16,39.51,4.65,1.12,2.17
16.29,78.33,4.77,0.85,1.63
24.99,72.15,7.86,0.66,1.53
19.27,48.97,5.31,0.51,1.73
24.43,79.2,6.47,0.41,2.0
17.05,27.64,7.6,0.31,2.06
31.29,69.18,6.41,0.99,1.62
32.29,47.07,7.56,1.11,2.16
26.41,70.42,5.36,0.57,2.08
21.47,19.1,7.08,0.71,2.1
26.26,60.28,4.37,0.67,1.65
24.6,50.02,4.16,0.3,1.88
26.43,68.03,4.14,1.15,2.06
20.02,65.88,7.78,0.22,1.65
30.93,35.46,5.11,0.68,1.75
28.99,18.92,4.56,0.84,1.62
25.25,38.81,7.78,0.84,1.78
26.13,67.7,4.86,0.96,2.04
19.54,39.95,4.57,0.86,1.85
17.69,72.5,5.63,0.76,1.61
25.83,54.03,6.74,0.78,1.71
18.92,42.76,4.62,0.43,1.61
21.01,76.81,5.75,0.25,1.93
23.34,16.89,4.47,0.59,1.55
30.01,59.15,4.19,1.11,1.89
32.77,70.02,6.68,0.73,2.07
30.56,18.98,7.46,0.83,1.68
33.0,45.39,4.26,0.52,2.13
18.64,63.07,5.85,0.76,1.54
22.13,15.82,4.95,0.4,1.87
22.5,41.69,5.02,0.31,1.67
34.97,25.74,7.64,0.23,2.07
22.02,71.03,4.36,0.36,1.92
17.62,54.27,4.52,1.05,2.13
34.87,60.59,7.69,1.12,2.13
29.5,43.11,4.6,0.31,1.8
31.41,33.3,6.11,0.91,1.67
32.87,22.43,4.67,0.4,1.92
24.45,74.46,5.82,0.25,1.97
28.55,64.39,6.94,0.32,1.98
18.02,55.72,5.43,0.7,2.1
18.84,52.31,4.45,1.07,2.17
20.65,64.71,6.44,0.79,2.2
28.42,55.05,5.9,0.88,2.2
34.4,16.75,5.55,0.5,2.19
31.47,61.25,4.8,0.31,1.5
27.09,60.67,6.48,1.02,2.1
15.39,34.53,6.71,0.36,1.87
34.65,25.57,6.83,0.81,2.12
15.16,48.17,7.82,0.83,1.89
28.85,70.99,5.0,0.75,2.03
