Lch,Wch,Tox1,Tox2
34.81,34.17,0.31,1.83
39.28,26.61,0.26,2.39
22.01,84.27,1.28,2.48
13.56,70.33,0.55,1.58
15.81,82.65,1.33,2.43
15.91,62.69,1.46,2.12
33.84,24.98,0.59,2.51
22.31,64.14,0.59,1.68
37.1,63.45,0.42,1.66
40.95,52.9,1.12,2.91
14.68,89.23,1.08,2.82
18.09,99.84,1.04,2.29
9.96,27.01,0.59,1.83
34.94,50.07,0.42,2.45
13.8,70.69,0.78,1.61
12.43,49.13,0.49,2.37
23.87,59.23,1.4,1.33
8.53,25.77,1.3,1.92
34.77,60.96,1.42,1.95
35.54,91.16,0.9,2.73
44.43,98.58,0.64,2.42
9.35,81.17,0.54,1.73
43.32,88.58,1.47,2.03
22.54,58.3,0.27,1.37
13.88,38.28,0.75,1.97
24.33,82.81,0.97,1.9
40.3,89.7,0.45,2.2
20.14,84.48,1.38,2.21
31.41,29.88,0.75,2.02
16.85,55.68,0.6,2.25
23.04,39.79,0.21,2.3
32.13,35.31,1.35,2.73
37.71,96.86,0.32,2.11
23.8,83.63,0.97,2.73
10.07,19.77,0.36,2.5
37.01,12.91,1.05,2.73
7.99,87.89,0.47,2.72
29.06,30.81,1.21,2.96
25.19,26.05,0.64,1.93
22.81,36.51,1.4,2.26
42.06,19.22,1.12,2.99
21.26,14.55,1.31,1.21
39.63,29.07,0.25,1.61
15.28,30.73,0.57,1.78
15.4,85.09,0.37,2.33
23.21,34.43,0.21,2.19
31.55,19.61,1.14,2.04
7.2,18.11,0.24,1.65
27.01,13.58,0.96,2.99
24.38,92.63,0.94,2.75
42.28,44.52,1.36,2.98
15.38,25.17,1.35,1.54
37.16,13.11,1.49,2.83
11.13,71.1,0.85,2.53
29.99,84.13,1.32,2.16
25.04,59.25,0.81,1.44
26.79,69.69,0.88,1.38
16.95,12.82,1.18,1.93
22.68,88.85,1.26,1.52
32.59,70.43,1.28,1.63
40.99,98.92,0.99,1.87
31.92,70.79,0.72,1.35
33.9,85.92,0.7,2.77
32.88,94.28,0.92,1.88
14.03,48.73,1.33,2.08
26.63,17.58,0.76,2.45
11.54,23.62,0.98,2.1
36.74,95.86,1.09,2.4
21.91,69.51,1.49,1.86
38.95,68.21,1.27,2.15
42.58,79.24,0.66,2.15
22.47,64.66,0.61,1.92
9.23,82.92,1.15,1.5
27.99,27.51,1.43,1.56
27.71,56.85,0.84,1.36
21.4,54.19,0.86,2.94
7.71,56.95,0.2,2.19
11.88,15.93,1.21,1.78
32.68,88.52,1.06,2.31
43.61,75.91,0.64,1.75
27.4,40.62,0.88,1.94
14.28,43.39,0.3,1.39
7.35,98.12,1.49,2.89
35.8,82.29,1.39,1.24
10.23,33.56,0.21,2.16
39.87,18.66,1.05,1.24
19.58,96.22,1.41,2.61
33.73,74.3,0.91,2.33
40.59,69.58,0.63,2.17
25.06,27.57,0.34,1.43
13.51,16.59,1.33,1.32
44.72,97.23,1.11,2.14
8.85,90.26,1.08,2.68
12.75,35.92,0.4,1.76
25.27,39.54,0.86,2.92
30.72,79.98,1.07,1.82
19.0,46.78,1.16,2.7
35.0,34.39,0.91,2.73
17.16,86.24,1.12,2.01
16.16,36.12,0.9,1.46
10.73,72.76,0.74,2.66
17.31,97.36,0.64,2.42
10.81,42.8,1.05,2.21
39.44,18.1,0.96,1.51
37.38,61.7,1.22,2.76
14.34,35.99,0.39,1.78
42.26,75.32,0.93,1.89
36.7,91.28,0.34,1.62
29.64,48.6,1.43,1.41
28.69,72.38,0.52,1.82
42.96,85.42,1.12,2.56
34.12,27.25,1.2,1.6
17.7,49.87,1.36,1.91
39.16,59.8,0.52,2.26
32.69,66.77,0.27,2.49
32.32,94.66,0.38,1.45
26.07,38.35,1.0,1.4
30.36,19.81,0.44,2.62
33.67,64.59,1.2,2.4
12.55,72.97,0.44,2.75
16.71,95.08,1.16,2.83
24.85,49.57,0.25,2.23
12.34,75.64,0.21,1.28
39.14,20.45,0.35,2.55
22.84,56.55,1.28,2.29
27.26,77.64,0.61,2.48
25.1,46.07,0.94,2.76
25.64,61.93,1.39,2.83
16.32,42.87,0.72,1.45
7.95,44.78,1.01,2.4
25.68,72.19,0.99,2.34
15.51,96.82,0.3,2.82
32.25,65.27,0.4,2.91
14.61,41.34,0.73,2.39
7.74,54.81,0.32,1.85
20.36,72.27,0.46,2.95
22.86,12.71,0.53,1.75
15.84,19.36,1.24,2.47
40.48,61.19,0.4,2.86
42.66,24.33,0.45,1.26
36.47,38.89,1.3,1.84
42.55,67.44,0.99,2.84
33.59,26.78,1.16,1.89
41.14,83.91,0.42,1.35
43.0,87.26,0.8,1.53
7.53,18.0,0.38,2.17
11.98,10.44,1.19,2.25
19.39,56.24,1.42,2.02
40.24,10.69,0.98,2.59
