Lch,Wch,Tox1,Tox2
9.26,64.49,0.55,2.98
37.6,50.39,0.84,2.64
34.89,80.7,0.31,1.28
17.69,90.3,0.86,1.28
20.37,89.72,1.05,2.87
27.17,97.82,0.78,2.55
43.75,14.83,1.38,2.96
22.97,40.91,0.57,1.5
40.51,26.76,1.42,2.88
38.58,13.85,1.44,1.33
7.24,35.35,0.68,1.9
28.48,38.14,1.11,2.09
36.78,32.32,0.65,1.52
9.18,13.67,1.34,2.73
12.1,43.1,0.55,1.36
12.23,72.13,0.29,2.32
43.14,47.94,1.15,2.61
34.64,53.83,0.34,2.33
17.91,73.89,1.18,2.47
34.84,64.72,1.31,1.58
15.58,55.87,1.1,2.75
40.81,67.09,0.94,2.04
13.82,28.51,0.47,1.57
32.08,92.54,0.29,2.02
28.8,43.57,0.9,2.95
28.62,68.28,0.81,1.62
19.46,65.33,1.4,2.1
23.61,68.17,1.22,2.3
19.15,12.29,0.95,1.81
29.42,11.11,0.42,1.92
19.94,80.87,0.74,2.5
7.51,92.41,0.88,2.76
40.87,53.11,0.32,2.11
23.51,89.03,0.73,2.89
32.36,17.18,1.2,1.28
36.37,57.82,0.95,2.0
20.09,34.52,1.43,2.37
19.96,95.61,1.15,2.83
18.65,27.52,0.91,2.59
44.73,72.19,0.46,2.73
28.7,44.97,0.76,1.67
31.38,42.65,1.44,2.54
29.84,48.93,1.45,1.65
38.79,54.74,1.29,2.23
32.96,16.33,0.59,1.24
43.37,53.81,1.32,2.76
13.84,95.05,0.32,1.74
16.33,45.31,1.27,1.46
11.24,84.73,0.79,2.48
22.71,63.4,0.72,1.37
9.36,89.55,0.7,2.25
8.07,94.63,1.14,1.75
42.97,69.13,0.49,2.21
31.86,44.74,0.27,2.31
27.45,16.65,0.99,2.18
26.19,72.78,0.33,2.2
17.14,42.17,0.39,1.3
40.45,17.2,0.24,1.26
38.94,60.87,0.63,2.84
37.23,19.36,0.36,2.25
18.19,76.64,1.36,2.93
37.82,86.02,0.43,2.0
10.49,89.58,1.34,1.91
15.71,28.78,0.92,1.99
25.5,90.42,0.86,2.25
26.03,31.24,0.68,2.88
21.35,17.1,1.45,2.02
7.56,87.14,0.75,1.7
27.04,96.3,1.17,1.61
19.12,35.83,1.47,2.82
8.43,89.38,0.42,2.67
30.93,27.4,0.36,2.29
9.33,82.49,0.86,1.61
23.08,62.09,0.59,3.0
26.07,31.76,0.53,2.94
30.31,90.98,0.42,2.02
22.39,81.88,0.96,1.78
31.9,97.01,0.94,2.54
8.32,35.6,1.12,2.08
26.96,10.04,1.06,2.2
9.04,22.18,0.98,1.54
42.55,48.5,1.42,2.99
17.22,14.37,1.08,2.75
10.0,23.7,0.88,2.4
23.36,80.45,0.87,1.71
40.82,23.12,0.43,1.21
33.69,90.58,0.3,2.4
20.91,73.96,0.73,1.89
14.78,38.78,1.23,1.63
39.79,84.84,0.39,2.53
17.38,72.83,1.08,2.63
14.36,46.24,1.25,1.68
25.94,47.38,1.21,2.34
12.64,75.31,0.97,2.86
15.07,11.02,0.54,2.19
22.5,66.72,0.45,2.53
43.88,56.92,0.71,2.98
30.63,38.68,0.74,2.15
21.56,84.44,0.96,1.67
11.8,25.91,0.44,2.96
12.27,69.37,1.32,2.5
25.09,22.83,1.23,2.72
29.91,31.07,0.68,1.64
18.03,51.75,0.39,1.51
9.5,16.67,1.01,2.13
22.75,75.43,0.96,2.81
31.23,34.7,0.65,2.34
16.01,81.03,0.22,2.3
39.3,39.0,0.52,1.69
24.28,86.16,0.58,2.59
13.15,22.7,0.5,1.39
14.67,74.34,0.66,1.62
20.59,18.68,0.56,2.27
31.67,18.16,0.3,2.94
35.83,36.2,1.29,1.94
16.89,18.26,0.93,1.47
8.15,90.07,0.95,2.37
44.51,13.11,0.68,2.44
13.51,54.64,0.33,1.85
15.63,63.13,0.29,2.38
23.38,50.8,1.06,2.27
29.94,39.18,1.22,2.88
18.54,27.07,0.28,1.55
27.3,64.06,0.84,2.26
28.17,81.96,1.33,1.65
9.76,49.93,1.29,2.16
9.23,97.34,1.13,1.83
16.28,99.35,0.49,2.12
43.85,44.36,1.26,1.6
36.0,53.01,0.82,2.02
25.38,69.58,0.89,1.78
9.57,34.58,0.55,2.18
41.92,79.69,0.26,1.31
17.02,62.29,1.19,1.81
41.73,81.72,0.51,2.75
14.25,54.44,1.41,2.92
16.64,78.84,1.11,2.43
24.84,18.0,0.91,2.22
13.94,50.05,0.39,2.68
27.95,14.75,0.28,1.68
32.63,48.38,0.26,2.74
26.85,80.77,1.02,1.4
40.1,49.35,1.13,1.39
34.03,49.81,0.86,1.67
14.29,26.99,0.51,2.32
37.69,41.25,0.3,1.48
14.82,76.51,0.53,2.06
17.32,15.98,1.39,2.16
17.29,98.67,0.49,2.08
44.79,57.63,0.46,2.51
42.62,44.72,0.3,1.86
34.2,51.18,0.5,1.57
25.99,94.09,0.85,1.66
33.54,34.81,1.41,3.0
12.79,25.83,1.33,2.68
13.62,52.57,1.14,2.09
25.19,48.14,0.66,1.3
25.45,45.42,0.21,2.35
